PERMNO,date,TICKER,SHROUT
86401,2001-03-30,FOX,176560
86401,2001-04-30,FOX,176560
86401,2001-05-31,FOX,176560
86401,2001-06-29,FOX,176560
86401,2001-07-31,FOX,176560
86401,2001-08-31,FOX,176560
86401,2001-09-28,FOX,176560
86401,2001-10-31,FOX,298806
86401,2001-11-30,FOX,298804
86401,2001-12-31,FOX,298804
86401,2002-01-31,FOX,298804
86401,2002-02-28,FOX,302436
86401,2002-03-28,FOX,302436
86401,2002-04-30,FOX,302436
86401,2002-05-31,FOX,302436
86401,2002-06-28,FOX,302436
86401,2002-07-31,FOX,302436
86401,2002-08-30,FOX,302436
86401,2002-09-30,FOX,302436
86401,2002-10-31,FOX,302437
86401,2002-11-29,FOX,352436
86401,2002-12-31,FOX,352436
86401,2003-01-31,FOX,352436
86401,2003-02-28,FOX,352436
86401,2003-03-31,FOX,352436
86401,2003-04-30,FOX,352436
86401,2003-05-30,FOX,352436
86401,2003-06-30,FOX,352436
86401,2003-07-31,FOX,352436
86401,2003-08-29,FOX,352436
86401,2003-09-30,FOX,352436
86401,2003-10-31,FOX,352436
86401,2003-11-28,FOX,352436
86401,2003-12-31,FOX,352436
86401,2004-01-30,FOX,352436
86401,2004-02-27,FOX,426959
86401,2004-03-31,FOX,426959
86401,2004-04-30,FOX,426959
86401,2004-05-28,FOX,426959
86401,2004-06-30,FOX,426959
86401,2004-07-30,FOX,426959
86401,2004-08-31,FOX,426959
86401,2004-09-30,FOX,426959
86401,2004-10-29,FOX,426959
86401,2004-11-30,FOX,426959
86401,2004-12-31,FOX,426959
86401,2005-01-31,FOX,426959
86401,2005-02-28,FOX,426959
86401,2005-03-31,FOX,426959
86447,2000-03-31,PPE,305908
86447,2000-04-28,PPE,305908
86447,2000-05-31,PPE,303856
86447,2000-06-30,PPE,303856
86447,2000-07-31,PPE,303856
86447,2000-08-31,PPE,303856
86447,2000-09-29,PPE,300227
86447,2000-10-31,PPE,300227
86447,2000-11-30,PPE,297404
86447,2000-12-29,PPE,297404
86447,2001-01-31,PPE,297404
86447,2001-02-28,PPE,297404
86447,2001-03-30,PPE,297404
86447,2001-04-30,PPE,297749
86447,2001-05-31,PPE,296563
86447,2001-06-29,PPE,297600
86447,2001-07-31,PPE,297600
86447,2001-08-31,PPE,298637
86447,2001-09-28,PPE,298637
86447,2001-10-31,PPE,298639
86447,2001-11-30,PPE,301249
86447,2001-12-31,PPE,301249
86447,2002-01-31,PPE,301249
86447,2002-02-28,PPE,301249
86447,2002-03-28,PPE,301249
86447,2002-04-30,PPE,301744
86447,2002-05-31,PPE,302109
86447,2002-06-28,PPE,302109
86447,2002-07-31,PPE,302109
86447,2002-08-30,PPE,301600
86447,2002-09-30,PPE,301600
86447,2002-10-31,PPE,301600
86447,2002-11-29,PPE,300551
86447,2002-12-31,PPE,300551
