PERMNO,date,TICKER,BIDLO,ASKHI,PRC,VOL
18421,07/31/2020,FOX,24.46000,26.91500,25.77000,248614
18421,08/31/2020,FOX,24.68000,27.92000,27.80000,242618
18421,09/30/2020,FOX,25.98000,29.46000,27.97000,331355
18421,10/30/2020,FOX,25.02000,29.63000,26.14000,284682
18421,11/30/2020,FOX,25.43000,29.21000,28.38000,336673
18421,12/31/2020,FOX,26.98000,30.05000,28.88000,285708
18421,01/29/2021,FOX,28.41000,33.40000,29.89000,479446
18421,02/26/2021,FOX,29.15000,33.39000,31.93000,247384
18421,03/31/2021,FOX,33.39000,41.44000,34.93000,406468
18421,04/30/2021,FOX,35.00000,37.36000,36.38000,238970
18421,05/28/2021,FOX,35.54000,37.39000,36.28000,221582
18421,06/30/2021,FOX,35.04000,36.39000,35.20000,232346
18421,07/30/2021,FOX,32.60000,35.56000,33.24000,240747
18421,08/31/2021,FOX,32.64000,34.63000,34.63000,207562
18421,09/30/2021,FOX,32.84000,37.25000,37.12000,220520
18421,10/29/2021,FOX,36.96000,40.20000,36.96000,183098
18421,11/30/2021,FOX,33.60000,38.68000,33.60000,217079
18421,12/31/2021,FOX,32.22000,34.77000,34.27000,378947
18421,01/31/2022,FOX,34.76000,37.70000,37.18000,221964
18421,02/28/2022,FOX,36.99000,40.05000,38.26000,222505
18421,03/31/2022,FOX,35.72000,39.53000,36.28000,218365
18421,04/29/2022,FOX,33.24000,36.48000,33.24000,175636
18421,05/31/2022,FOX,29.90000,34.37000,32.71000,292712
18421,06/30/2022,FOX,29.21000,32.15000,29.70000,244812
18421,07/29/2022,FOX,30.02000,32.65000,30.90000,168120
18421,08/31/2022,FOX,30.93000,33.75000,31.62000,228574
18421,09/30/2022,FOX,28.37000,32.30000,28.50000,269237
18421,10/31/2022,FOX,26.57000,29.98000,27.20000,308972
18421,11/30/2022,FOX,26.66000,30.52000,30.52000,251062
18421,12/30/2022,FOX,27.63000,30.61000,28.45000,257006
18428,03/29/2019,,,,,
18428,04/30/2019,DOW,54.89000,59.71000,56.73000,1706353
18428,05/31/2019,DOW,46.76000,56.13000,46.76000,1149127
18428,06/28/2019,DOW,47.96000,52.88000,49.31000,1071320
18428,07/31/2019,DOW,47.55000,52.79000,48.44000,932159
18428,08/30/2019,DOW,40.71000,46.85000,42.63000,1050838
18428,09/30/2019,DOW,41.80000,49.01000,47.65000,814868
18428,10/31/2019,DOW,43.85000,51.49000,50.49000,889302
18428,11/29/2019,DOW,52.31000,55.99000,53.37000,834154
18428,12/31/2019,DOW,51.82000,55.22000,54.73000,665200
18428,01/31/2020,DOW,46.07000,53.75000,46.07000,970726
18428,02/28/2020,DOW,39.55000,49.61000,40.41000,972468
18428,03/31/2020,DOW,22.00000,41.91000,29.24000,2559625
18428,04/30/2020,DOW,27.04000,37.47000,36.69000,1658863
18428,05/29/2020,DOW,31.96000,39.82000,38.60000,1100724
18428,06/30/2020,DOW,38.45000,45.90000,40.76000,1235356
18428,07/31/2020,DOW,39.44000,44.34000,41.06000,941069
18428,08/31/2020,DOW,40.09000,46.34000,45.12000,758348
18428,09/30/2020,DOW,46.04000,51.07000,47.05000,1059149
18428,10/30/2020,DOW,45.18000,49.38000,45.49000,906693
18428,11/30/2020,DOW,46.45000,57.73000,53.01000,911858
18428,12/31/2020,DOW,53.06000,55.66000,55.50000,741872
18428,01/29/2021,DOW,51.90000,61.04000,51.90000,883214
18428,02/26/2021,DOW,52.75000,63.69000,59.31000,745429
18428,03/31/2021,DOW,60.75000,66.01000,63.94000,1072784
18428,04/30/2021,DOW,60.93000,64.82000,62.50000,917433
18428,05/28/2021,DOW,64.55000,70.91000,68.42000,969946
18428,06/30/2021,DOW,61.98000,70.61000,63.28000,893247
18428,07/30/2021,DOW,57.79000,63.51000,62.16000,978071
18428,08/31/2021,DOW,60.55000,65.38000,62.90000,811658
18428,09/30/2021,DOW,55.53000,62.62000,57.56000,1202169
18428,10/29/2021,DOW,55.97000,59.89000,55.97000,1319557
18428,11/30/2021,DOW,54.93000,60.06000,54.93000,1110609
18428,12/31/2021,DOW,52.76000,57.06000,56.72000,1189538
18428,01/31/2022,DOW,56.62000,60.74000,59.73000,1261926
18428,02/28/2022,DOW,58.72000,62.08000,58.96000,1063671
18428,03/31/2022,DOW,57.13000,64.70000,63.72000,1324855
18428,04/29/2022,DOW,61.25000,69.51000,66.50000,1056049
18428,05/31/2022,DOW,65.81000,70.61000,67.98000,1198543
18428,06/30/2022,DOW,51.06000,68.11000,51.61000,1371620
18428,07/29/2022,DOW,48.90000,53.21000,53.21000,1156129
18428,08/31/2022,DOW,50.99000,56.11000,51.00000,1268031
18428,09/30/2022,DOW,43.39000,50.93000,43.93000,1377133
18428,10/31/2022,DOW,43.81000,47.99000,46.74000,1332647
18428,11/30/2022,DOW,46.49000,53.14000,50.97000,1137754
18428,12/30/2022,DOW,49.33000,51.56000,50.39000,906610
