permno,adate,qdate,public_date,GProf,TICKER
26825,2018-12-31,2019-03-31,2019-07-31,0.288,K
26825,2018-12-31,2019-06-30,2019-08-31,0.285,K
26825,2018-12-31,2019-06-30,2019-09-30,0.285,K
26825,2018-12-31,2019-06-30,2019-10-31,0.285,K
26825,2018-12-31,2019-09-30,2019-11-30,0.282,K
26825,2018-12-31,2019-09-30,2019-12-31,0.282,K
26825,2018-12-31,2019-09-30,2020-01-31,0.282,K
26825,2019-12-31,2019-12-31,2020-02-29,0.288,K
26825,2019-12-31,2019-12-31,2020-03-31,0.288,K
26825,2019-12-31,2019-12-31,2020-04-30,0.288,K
26825,2019-12-31,2020-03-31,2020-05-31,0.282,K
26825,2019-12-31,2020-03-31,2020-06-30,0.282,K
26825,2019-12-31,2020-03-31,2020-07-31,0.282,K
26825,2019-12-31,2020-06-30,2020-08-31,0.282,K
26825,2019-12-31,2020-06-30,2020-09-30,0.282,K
26825,2019-12-31,2020-06-30,2020-10-31,0.282,K
26825,2019-12-31,2020-09-30,2020-11-30,0.280,K
26825,2019-12-31,2020-09-30,2020-12-31,0.280,K
26825,2019-12-31,2020-09-30,2021-01-31,0.280,K
26825,2020-12-31,2020-12-31,2021-02-28,0.290,K
26825,2020-12-31,2020-12-31,2021-03-31,0.290,K
26825,2020-12-31,2020-12-31,2021-04-30,0.290,K
26825,2020-12-31,2021-03-31,2021-05-31,0.285,K
26825,2020-12-31,2021-03-31,2021-06-30,0.285,K
26825,2020-12-31,2021-03-31,2021-07-31,0.285,K
26825,2020-12-31,2021-06-30,2021-08-31,0.287,K
26825,2020-12-31,2021-06-30,2021-09-30,0.287,K
26825,2020-12-31,2021-06-30,2021-10-31,0.287,K
26825,2020-12-31,2021-09-30,2021-11-30,0.288,K
26825,2020-12-31,2021-09-30,2021-12-31,0.288,K
26825,2020-12-31,2021-09-30,2022-01-31,0.288,K
26825,2021-12-31,2021-12-31,2022-02-28,0.279,K
26825,2021-12-31,2021-12-31,2022-03-31,0.279,K
26825,2021-12-31,2021-12-31,2022-04-30,0.279,K
26825,2021-12-31,2022-03-31,2022-05-31,0.276,K
26825,2021-12-31,2022-03-31,2022-06-30,0.276,K
26825,2021-12-31,2022-03-31,2022-07-31,0.276,K
26825,2021-12-31,2022-06-30,2022-08-31,0.269,K
26825,2021-12-31,2022-06-30,2022-09-30,0.269,K
26825,2021-12-31,2022-06-30,2022-10-31,0.269,K
26825,2021-12-31,2022-09-30,2022-11-30,0.266,K
26825,2021-12-31,2022-09-30,2022-12-31,0.266,K
27828,2009-10-31,2009-10-31,2010-01-31,0.263,HPQ
27828,2009-10-31,2009-10-31,2010-02-28,0.263,HPQ
27828,2009-10-31,2010-01-31,2010-03-31,0.274,HPQ
27828,2009-10-31,2010-01-31,2010-04-30,0.274,HPQ
27828,2009-10-31,2010-01-31,2010-05-31,0.274,HPQ
27828,2009-10-31,2010-04-30,2010-06-30,0.277,HPQ
27828,2009-10-31,2010-04-30,2010-07-31,0.277,HPQ
27828,2009-10-31,2010-04-30,2010-08-31,0.277,HPQ
27828,2009-10-31,2010-07-31,2010-09-30,0.279,HPQ
27828,2009-10-31,2010-07-31,2010-10-31,0.279,HPQ
27828,2009-10-31,2010-07-31,2010-11-30,0.279,HPQ
27828,2010-10-31,2010-10-31,2010-12-31,0.267,HPQ
27828,2010-10-31,2010-10-31,2011-01-31,0.267,HPQ
27828,2010-10-31,2010-10-31,2011-02-28,0.267,HPQ
27828,2010-10-31,2011-01-31,2011-03-31,0.285,HPQ
27828,2010-10-31,2011-01-31,2011-04-30,0.285,HPQ
27828,2010-10-31,2011-01-31,2011-05-31,0.285,HPQ
27828,2010-10-31,2011-04-30,2011-06-30,0.283,HPQ
27828,2010-10-31,2011-04-30,2011-07-31,0.283,HPQ
27828,2010-10-31,2011-04-30,2011-08-31,0.283,HPQ
27828,2010-10-31,2011-07-31,2011-09-30,0.280,HPQ
27828,2010-10-31,2011-07-31,2011-10-31,0.280,HPQ
27828,2010-10-31,2011-07-31,2011-11-30,0.280,HPQ
27828,2011-10-31,2011-10-31,2011-12-31,0.261,HPQ
27828,2011-10-31,2011-10-31,2012-01-31,0.261,HPQ
27828,2011-10-31,2011-10-31,2012-02-29,0.261,HPQ
27828,2011-10-31,2012-01-31,2012-03-31,0.259,HPQ
27828,2011-10-31,2012-01-31,2012-04-30,0.259,HPQ
27828,2011-10-31,2012-01-31,2012-05-31,0.259,HPQ
27828,2011-10-31,2012-04-30,2012-06-30,0.252,HPQ
27828,2011-10-31,2012-04-30,2012-07-31,0.252,HPQ
27828,2011-10-31,2012-04-30,2012-08-31,0.252,HPQ
27828,2011-10-31,2012-07-31,2012-09-30,0.253,HPQ
27828,2011-10-31,2012-07-31,2012-10-31,0.253,HPQ
27828,2011-10-31,2012-07-31,2012-11-30,0.253,HPQ
27828,2012-10-31,2012-10-31,2012-12-31,0.288,HPQ
27828,2012-10-31,2012-10-31,2013-01-31,0.288,HPQ
27828,2012-10-31,2012-10-31,2013-02-28,0.288,HPQ
27828,2012-10-31,2013-01-31,2013-03-31,0.269,HPQ
27828,2012-10-31,2013-01-31,2013-04-30,0.269,HPQ
27828,2012-10-31,2013-01-31,2013-05-31,0.269,HPQ
27828,2012-10-31,2013-04-30,2013-06-30,0.278,HPQ
27828,2012-10-31,2013-04-30,2013-07-31,0.278,HPQ
27828,2012-10-31,2013-04-30,2013-08-31,0.278,HPQ
27828,2012-10-31,2013-07-31,2013-09-30,0.280,HPQ
27828,2012-10-31,2013-07-31,2013-10-31,0.280,HPQ
27828,2012-10-31,2013-07-31,2013-11-30,0.280,HPQ
27828,2013-10-31,2013-10-31,2013-12-31,0.279,HPQ
27828,2013-10-31,2013-10-31,2014-01-31,0.279,HPQ
27828,2013-10-31,2013-10-31,2014-02-28,0.279,HPQ
27828,2013-10-31,2014-01-31,2014-03-31,0.280,HPQ
27828,2013-10-31,2014-01-31,2014-04-30,0.280,HPQ
27828,2013-10-31,2014-01-31,2014-05-31,0.280,HPQ
