PERMNO,date,TICKER,PRC,VOL
61399,2021-11-05,LOW,235.53999,2356480
61399,2021-11-08,LOW,234.78999,2797387
61399,2021-11-09,LOW,233.91000,2307588
61399,2021-11-10,LOW,232.55000,2403123
61399,2021-11-11,LOW,232.32001,1921436
61399,2021-11-12,LOW,236.32001,2462903
61399,2021-11-15,LOW,234.92000,2219943
61399,2021-11-16,LOW,244.78000,5223229
61399,2021-11-17,LOW,245.73000,6823898
61399,2021-11-18,LOW,247.38000,3468889
61399,2021-11-19,LOW,249.52000,3685521
61399,2021-11-22,LOW,252.35001,4460971
61399,2021-11-23,LOW,251.91000,2550700
61399,2021-11-24,LOW,252.63000,1952637
61399,2021-11-26,LOW,247.69000,1890971
61399,2021-11-29,LOW,248.58000,3209064
61399,2021-11-30,LOW,244.59000,6236008
61399,2021-12-01,LOW,245.34000,4019688
61399,2021-12-02,LOW,250.39000,3706711
61399,2021-12-03,LOW,248.69000,3972165
61399,2021-12-06,LOW,251.17999,3008545
61399,2021-12-07,LOW,256.91000,3405621
61399,2021-12-08,LOW,256.73999,3820799
61399,2021-12-09,LOW,258.14999,3812705
61399,2021-12-10,LOW,261.38000,2547664
61399,2021-12-13,LOW,257.23999,3915269
61399,2021-12-14,LOW,252.46001,5100578
61399,2021-12-15,LOW,257.54001,4939283
61399,2021-12-16,LOW,253.24001,4457213
61399,2021-12-17,LOW,248.09000,10175909
61399,2021-12-20,LOW,245.62000,3900882
61399,2021-12-21,LOW,246.98000,2963847
61399,2021-12-22,LOW,249.70000,1772047
61399,2021-12-23,LOW,250.09000,2060478
61399,2021-12-27,LOW,253.70000,1590318
61399,2021-12-28,LOW,254.02000,1531542
61399,2021-12-29,LOW,257.57001,1617702
61399,2021-12-30,LOW,256.39001,1488100
61399,2021-12-31,LOW,258.48001,1774222
61399,2022-01-03,LOW,255.50999,5305697
61399,2022-01-04,LOW,259.81000,3638211
61399,2022-01-05,LOW,254.75000,3808574
61399,2022-01-06,LOW,257.79001,3616309
61399,2022-01-07,LOW,251.09000,4945544
61399,2022-01-10,LOW,247.69000,6292571
61399,2022-01-11,LOW,249.50000,3414950
61399,2022-01-12,LOW,250.72000,2825576
61399,2022-01-13,LOW,250.70000,2243611
61399,2022-01-14,LOW,243.39999,3258477
61399,2022-01-18,LOW,238.41000,4612577
61399,2022-01-19,LOW,234.70000,4146791
61399,2022-01-20,LOW,223.92999,5946565
61399,2022-01-21,LOW,225.02000,5724411
61399,2022-01-24,LOW,232.35001,4912593
61399,2022-01-25,LOW,230.00999,4099153
61399,2022-01-26,LOW,228.10001,4349153
61399,2022-01-27,LOW,225.92999,3426116
61399,2022-01-28,LOW,234.99001,3215463
61399,2022-01-31,LOW,237.35001,4486036
61399,2022-02-01,LOW,238.35001,2723824
61399,2022-02-02,LOW,239.11000,2442894
61399,2022-02-03,LOW,234.11000,2512234
61399,2022-02-04,LOW,229.07001,3456689
61399,2022-02-07,LOW,227.02000,2990056
