PERMNO,date,TICKER,PRC
75278,2009-10-30,AB,26.98000
75278,2009-11-30,AB,25.30000
75278,2009-12-31,AB,28.10000
75278,2010-01-29,AB,25.74000
75278,2010-02-26,AB,27.05000
75278,2010-03-31,AB,30.66000
75278,2010-04-30,AB,31.39000
75278,2010-05-28,AB,28.39000
75278,2010-06-30,AB,25.84000
75278,2010-07-30,AB,26.68000
75278,2010-08-31,AB,23.65000
75278,2010-09-30,AB,26.41000
75278,2010-10-29,AB,24.40000
75278,2010-11-30,AB,22.96000
75278,2010-12-31,AB,23.33000
75278,2011-01-31,AB,21.18000
75278,2011-02-28,AB,22.76000
75278,2011-03-31,AB,21.80000
75278,2011-04-29,AB,22.20000
75278,2011-05-31,AB,20.82000
75278,2011-06-30,AB,19.44000
75278,2011-07-29,AB,17.00000
75278,2011-08-31,AB,16.95000
75278,2011-09-30,AB,13.65000
75278,2011-10-31,AB,14.17000
75278,2011-11-30,AB,13.41000
75278,2011-12-30,AB,13.08000
75278,2012-01-31,AB,15.22000
75278,2012-02-29,AB,14.00000
75278,2012-03-30,AB,15.61000
75278,2012-04-30,AB,14.09000
75278,2012-05-31,AB,12.90000
75278,2012-06-29,AB,12.69000
75278,2012-07-31,AB,12.12000
75278,2012-08-31,AB,14.32000
75278,2012-09-28,AB,15.41000
75278,2012-10-31,AB,16.82000
75278,2012-11-30,AB,17.58000
75278,2012-12-31,AB,17.43000
75278,2013-01-31,AB,20.36000
75278,2013-02-28,AB,23.03000
75278,2013-03-28,AB,21.90000
75278,2013-04-30,AB,23.69000
75278,2013-05-31,AB,25.30000
75278,2013-06-28,AB,20.82000
75278,2013-07-31,AB,22.20000
75278,2013-08-30,AB,19.33000
75278,2013-09-30,AB,19.86000
75278,2013-10-31,AB,22.22000
75278,2013-11-29,AB,22.19000
75278,2013-12-31,AB,21.34000
75278,2014-01-31,AB,22.34000
75278,2014-02-28,AB,24.22000
75278,2014-03-31,AB,24.97000
75278,2014-04-30,AB,25.43000
75278,2014-05-30,AB,24.25000
75278,2014-06-30,AB,25.88000
75278,2014-07-31,AB,26.14000
75278,2014-08-29,AB,27.66000
75278,2014-09-30,AB,26.01000
75278,2014-10-31,AB,26.60000
75278,2014-11-28,AB,26.84000
75278,2014-12-31,AB,25.83000
75278,2015-01-30,AB,24.16000
75278,2015-02-27,AB,28.64000
75278,2015-03-31,AB,30.87000
75278,2015-04-30,AB,31.35000
75278,2015-05-29,AB,31.36000
75278,2015-06-30,AB,29.53000
75278,2015-07-31,AB,27.47000
75278,2015-08-31,AB,27.34000
75278,2015-09-30,AB,26.60000
75278,2015-10-30,AB,25.74000
75278,2015-11-30,AB,24.50000
75278,2015-12-31,AB,23.85000
75278,2016-01-29,AB,18.44000
75278,2016-02-29,AB,19.78000
75278,2016-03-31,AB,23.43000
75278,2016-04-29,AB,23.49000
75278,2016-05-31,AB,23.51000
75278,2016-06-30,AB,23.30000
75278,2016-07-29,AB,23.96000
75278,2016-08-31,AB,21.89000
75278,2016-09-30,AB,22.80000
75278,2016-10-31,AB,21.80000
75278,2016-11-30,AB,22.60000
75278,2016-12-30,AB,23.45000
75278,2017-01-31,AB,23.35000
75278,2017-02-28,AB,23.70000
75278,2017-03-31,AB,22.85000
75278,2017-04-28,AB,22.90000
75278,2017-05-31,AB,22.55000
